,name,newCasesByPublishDate,newDeaths28DaysByDeathDate
0,Aberdeen City,19,
1,Aberdeenshire,13,
2,Angus,7,
3,Antrim and Newtownabbey,65,
4,Ards and North Down,55,
5,Argyll and Bute,7,
6,"Armagh City, Banbridge and Craigavon",100,
7,Barking and Dagenham,25,
8,Barnet,65,
9,Barnsley,111,
10,Bath and North East Somerset,23,
11,Bedford,9,
12,Belfast,315,
13,Bexley,28,
14,Birmingham,516,
15,Blackburn with Darwen,91,
16,Blackpool,65,
17,Blaenau Gwent,0,
18,Bolton,162,
19,"Bournemouth, Christchurch and Poole",31,
20,Bracknell Forest,13,
21,Bradford,203,
22,Brent,46,
23,Bridgend,0,
24,Brighton and Hove,48,
25,"Bristol, City of",164,
26,Bromley,40,
27,Buckinghamshire,67,
28,Bury,92,
29,Caerphilly,0,
30,Calderdale,78,
31,Cambridgeshire,81,
32,Camden,84,
33,Cardiff,1,
34,Carmarthenshire,0,
35,Causeway Coast and Glens,86,
36,Central Bedfordshire,16,
37,Ceredigion,0,
38,Cheshire East,103,
39,Cheshire West and Chester,83,
40,City of Edinburgh,93,
41,City of London,0,
42,Clackmannanshire,11,
43,Conwy,0,
44,Cornwall and Isles of Scilly,29,
45,County Durham,257,
46,Coventry,108,
47,Croydon,29,
48,Cumbria,101,
49,Darlington,68,
50,Denbighshire,0,
51,Derby,30,
52,Derbyshire,117,
53,Derry City and Strabane,258,
54,Devon,76,
55,Doncaster,107,
56,Dorset,25,
57,Dudley,64,
58,Dumfries and Galloway,29,
59,Dundee City,53,
60,Ealing,72,
61,East Ayrshire,41,
62,East Dunbartonshire,37,
63,East Lothian,6,
64,East Renfrewshire,23,
65,East Riding of Yorkshire,68,
66,East Sussex,41,
67,Enfield,40,
68,Essex,142,
69,Falkirk,10,
70,Fermanagh and Omagh,45,
71,Fife,27,
72,Flintshire,0,
73,Gateshead,69,
74,Glasgow City,241,
75,Gloucestershire,50,
76,Greenwich,29,
77,Gwynedd,0,
78,Hackney and City of London,48,
79,Halton,43,
80,Hammersmith and Fulham,38,
81,Hampshire,116,
82,Haringey,47,
83,Harrow,63,
84,Hartlepool,37,
85,Havering,38,
86,"Herefordshire, County of",14,
87,Hertfordshire,136,
88,Highland,7,
89,Hillingdon,53,
90,Hounslow,49,
91,Inverclyde,6,
92,Isle of Anglesey,0,
93,Isle of Wight,6,
94,Isles of Scilly,0,
95,Islington,45,
96,Kensington and Chelsea,31,
97,Kent,107,
98,"Kingston upon Hull, City of",38,
99,Kingston upon Thames,25,
100,Kirklees,139,
101,Knowsley,130,
102,Lambeth,59,
103,Lancashire,582,
104,Leeds,306,
105,Leicester,56,
106,Leicestershire,72,
107,Lewisham,32,
108,Lincolnshire,65,
109,Lisburn and Castlereagh,90,
110,Liverpool,297,
111,Luton,13,
112,Manchester,312,
113,Medway,14,
114,Merthyr Tydfil,0,
115,Merton,25,
116,Mid and East Antrim,42,
117,Mid Ulster,120,
118,Middlesbrough,50,
119,Midlothian,12,
120,Milton Keynes,12,
121,Monmouthshire,0,
122,Moray,0,
123,Na h-Eileanan Siar,1,
124,Neath Port Talbot,1,
125,Newcastle upon Tyne,167,
126,Newham,61,
127,Newport,0,
128,"Newry, Mourne and Down",99,
129,Norfolk,78,
130,North Ayrshire,36,
131,North East Lincolnshire,54,
132,North Lanarkshire,159,
133,North Lincolnshire,26,
134,North Somerset,14,
135,North Tyneside,57,
136,North Yorkshire,115,
137,Northamptonshire,70,
138,Northumberland,98,
139,Nottingham,109,
140,Nottinghamshire,133,
141,Oldham,116,
142,Orkney Islands,2,
143,Oxfordshire,56,
144,Pembrokeshire,0,
145,Perth and Kinross,5,
146,Peterborough,20,
147,Plymouth,25,
148,Portsmouth,53,
149,Powys,0,
150,Reading,15,
151,Redbridge,46,
152,Redcar and Cleveland,60,
153,Renfrewshire,68,
154,Resident outside Wales,0,
155,Rhondda Cynon Taf,1,
156,Richmond upon Thames,32,
157,Rochdale,121,
158,Rotherham,98,
159,Rutland,6,
160,Salford,155,
161,Sandwell,129,
162,Scottish Borders,5,
163,Sefton,124,
164,Sheffield,242,
165,Shetland Islands,0,
166,Shropshire,29,
167,Slough,34,
168,Solihull,69,
169,Somerset,40,
170,South Ayrshire,26,
171,South Gloucestershire,23,
172,South Lanarkshire,150,
173,South Tyneside,41,
174,Southampton,23,
175,Southend-on-Sea,18,
176,Southwark,31,
177,St. Helens,84,
178,Staffordshire,247,
179,Stirling,9,
180,Stockport,95,
181,Stockton-on-Tees,106,
182,Stoke-on-Trent,77,
183,Suffolk,46,
184,Sunderland,168,
185,Surrey,115,
186,Sutton,26,
187,Swansea,0,
188,Swindon,14,
189,Tameside,104,
190,Telford and Wrekin,43,
191,Thurrock,18,
192,Torbay,11,
193,Torfaen,0,
194,Tower Hamlets,51,
195,Trafford,108,
196,Vale of Glamorgan,0,
197,Wakefield,95,
198,Walsall,97,
199,Waltham Forest,39,
200,Wandsworth,54,
201,Warrington,65,
202,Warwickshire,96,
203,West Berkshire,12,
204,West Dunbartonshire,37,
205,West Lothian,45,
206,West Sussex,45,
207,Westminster,43,
208,Wigan,188,
209,Wiltshire,52,
210,Windsor and Maidenhead,25,
211,Wirral,103,
212,Wokingham,12,
213,Wolverhampton,108,
214,Worcestershire,99,
215,Wrexham,0,
216,York,75,
